,accuracy,count,logloss
accuracy_voter_prediction_0.8500000000000001,0.9271217712177122,1084.0,1.0641444366324204
accuracy_voter_prediction_0.8600000000000001,0.9377593360995851,964.0,1.0685428338917515
accuracy_voter_prediction_0.8700000000000001,0.9439809296781884,839.0,1.084560975981194
accuracy_voter_prediction_0.8800000000000001,0.9487179487179487,702.0,1.0844830056228276
accuracy_voter_prediction_0.8899999999999999,0.9525423728813559,590.0,1.101333340740958
combined_voter_prediction_0.7,0.827485380116959,3420.0,0.9373435806740231
combined_voter_prediction_0.71,0.8339908952959029,3295.0,0.9406123385644358
combined_voter_prediction_0.72,0.8411989795918368,3136.0,0.9501869477844016
combined_voter_prediction_0.73,0.8488529014844804,2964.0,0.9559288464229683
combined_voter_prediction_0.74,0.8593128390596745,2765.0,0.9649285226249754
combined_voter_prediction_0.75,0.8657460682777138,2607.0,0.974384306135624
combined_voter_prediction_0.76,0.8712059064807219,2438.0,0.989688102993314
combined_voter_prediction_0.77,0.8777923784494087,2283.0,0.9998319319939882
combined_voter_prediction_0.78,0.8815478999528079,2119.0,1.013690470427483
combined_voter_prediction_0.79,0.8861336032388664,1976.0,1.0152524722940206
combined_voter_prediction_0.8,0.8926615553121577,1826.0,1.0233694147332688
combined_voter_prediction_0.81,0.8999400838825644,1669.0,1.0313404287252048
combined_voter_prediction_0.8200000000000001,0.9058355437665783,1508.0,1.0380256244786887
combined_voter_prediction_0.8300000000000001,0.9114202049780381,1366.0,1.0521924103722284
combined_voter_prediction_0.8400000000000001,0.9201331114808652,1202.0,1.0579517777994558
combined_voter_prediction_0.8500000000000001,0.9258572752548656,1079.0,1.0571971611260118
combined_voter_prediction_0.8600000000000001,0.9380252100840336,952.0,1.0693347034685683
combined_voter_prediction_0.8700000000000001,0.9442424242424242,825.0,1.0789586011488748
combined_voter_prediction_0.8800000000000001,0.9522431259044862,691.0,1.0733783477589895
combined_voter_prediction_0.8899999999999999,0.9518900343642611,582.0,1.0973492986228126
loss_voter_prediction_0.7,0.8279695728496197,3418.0,0.9350947498678318
loss_voter_prediction_0.71,0.8343483556638246,3284.0,0.9390908220496448
loss_voter_prediction_0.72,0.8408071748878924,3122.0,0.9485636639712924
loss_voter_prediction_0.73,0.8498305084745763,2950.0,0.955536355128209
loss_voter_prediction_0.74,0.8594377510040161,2739.0,0.9644634519678017
loss_voter_prediction_0.75,0.865971417535728,2589.0,0.9730597272221693
loss_voter_prediction_0.76,0.8704769736842105,2432.0,0.9872292183985487
loss_voter_prediction_0.77,0.8778120864578739,2267.0,1.0004884297702823
loss_voter_prediction_0.78,0.8816539923954373,2104.0,1.0106183062496525
loss_voter_prediction_0.79,0.886734693877551,1960.0,1.014364953756564
loss_voter_prediction_0.8,0.8948247078464107,1797.0,1.0214002018577828
loss_voter_prediction_0.81,0.9006622516556292,1661.0,1.0300291836376392
loss_voter_prediction_0.8200000000000001,0.9056224899598394,1494.0,1.0339683806698505
loss_voter_prediction_0.8300000000000001,0.9128816083395384,1343.0,1.042898795541169
loss_voter_prediction_0.8400000000000001,0.9212070410729254,1193.0,1.0561869099730006
loss_voter_prediction_0.8500000000000001,0.9250936329588015,1068.0,1.0571337392064384
loss_voter_prediction_0.8600000000000001,0.9396186440677966,944.0,1.064636376170672
loss_voter_prediction_0.8700000000000001,0.9433497536945813,812.0,1.067676328297596
loss_voter_prediction_0.8800000000000001,0.9528718703976435,679.0,1.0726114631226142
loss_voter_prediction_0.8899999999999999,0.9508771929824561,570.0,1.089726215276001
raw_keras_prediction_0.7,0.810520806071709,3821.0,0.9433709156326708
raw_keras_prediction_0.71,0.8153091800599291,3671.0,0.9498480945559981
raw_keras_prediction_0.72,0.8216524216524217,3510.0,0.9578445485358337
raw_keras_prediction_0.73,0.8307369682444578,3338.0,0.9665141080245099
raw_keras_prediction_0.74,0.8376068376068376,3159.0,0.9702829854662419
raw_keras_prediction_0.75,0.8499496475327291,2979.0,0.9762858472839367
raw_keras_prediction_0.76,0.8563279857397504,2805.0,0.9837435688904048
raw_keras_prediction_0.77,0.8607594936708861,2607.0,0.9991900465447243
raw_keras_prediction_0.78,0.8682266009852216,2436.0,1.0149174632460278
raw_keras_prediction_0.79,0.8788150807899462,2228.0,1.0248526151885662
raw_keras_prediction_0.8,0.885896180215475,2042.0,1.0376504346079216
raw_keras_prediction_0.81,0.8923160173160173,1848.0,1.0470233408922753
raw_keras_prediction_0.8200000000000001,0.8984984984984985,1665.0,1.0450636549363304
raw_keras_prediction_0.8300000000000001,0.9050505050505051,1485.0,1.0585915105756079
raw_keras_prediction_0.8400000000000001,0.9184481393507522,1263.0,1.0816603997194993
raw_keras_prediction_0.8500000000000001,0.9280442804428044,1084.0,1.1058393484152333
raw_keras_prediction_0.8600000000000001,0.9349240780911063,922.0,1.1245649475551807
raw_keras_prediction_0.8700000000000001,0.9466145833333334,768.0,1.1322697919020743
raw_keras_prediction_0.8800000000000001,0.9548494983277592,598.0,1.149770372065876
raw_keras_prediction_0.8899999999999999,0.958997722095672,439.0,1.2061729367008234
raw_knn_prediction_0.7,0.8370102074415542,3037.0,0.9175815574073414
raw_knn_prediction_0.71,0.8416351769151494,2911.0,0.9239186095705165
raw_knn_prediction_0.72,0.8492592592592593,2700.0,0.933805536114897
raw_knn_prediction_0.73,0.8592057761732852,2493.0,0.9484304627901597
raw_knn_prediction_0.74,0.8639598158225199,2389.0,0.9545404773744166
raw_knn_prediction_0.75,0.8674643350207087,2173.0,0.9679284726889137
raw_knn_prediction_0.76,0.8791708796764408,1978.0,0.9763198211113617
raw_knn_prediction_0.77,0.8792553191489362,1880.0,0.9856216053179792
raw_knn_prediction_0.78,0.8867483946293053,1713.0,1.0021478269030073
raw_knn_prediction_0.79,0.8917155903457273,1533.0,1.0115803072125726
raw_knn_prediction_0.8,0.9037396121883656,1444.0,1.0090770314494024
raw_knn_prediction_0.81,0.9120622568093385,1285.0,1.0177637113835691
raw_knn_prediction_0.8200000000000001,0.9177837354781054,1119.0,1.0241068266321827
raw_knn_prediction_0.8300000000000001,0.9199614271938283,1037.0,1.0374995158337748
raw_knn_prediction_0.8400000000000001,0.9292035398230089,904.0,1.0491022209036873
raw_knn_prediction_0.8500000000000001,0.9302325581395349,774.0,1.0583277753238878
raw_knn_prediction_0.8600000000000001,0.9323943661971831,710.0,1.0745483203151618
raw_knn_prediction_0.8700000000000001,0.9421768707482994,588.0,1.1005081877450054
raw_knn_prediction_0.8800000000000001,0.9460043196544277,463.0,1.111686265541039
raw_knn_prediction_0.8899999999999999,0.946987951807229,415.0,1.1325354523497175
raw_lightgbc_prediction_0.7,0.8233795641098217,3533.0,0.9425333392684969
raw_lightgbc_prediction_0.71,0.8271276595744681,3384.0,0.949843471543054
raw_lightgbc_prediction_0.72,0.8316862260654725,3238.0,0.956464925629054
raw_lightgbc_prediction_0.73,0.8380921479558728,3082.0,0.9669366095755175
raw_lightgbc_prediction_0.74,0.8472839084386744,2927.0,0.9750552407010531
raw_lightgbc_prediction_0.75,0.8515426497277677,2755.0,0.9833082828491294
raw_lightgbc_prediction_0.76,0.8629817049435579,2569.0,0.9925399485440055
raw_lightgbc_prediction_0.77,0.8684977111943404,2403.0,1.0047012007965683
raw_lightgbc_prediction_0.78,0.8710106382978723,2256.0,1.018979769569968
raw_lightgbc_prediction_0.79,0.8810888252148997,2094.0,1.0321069814130504
raw_lightgbc_prediction_0.8,0.8840653728294178,1958.0,1.0400484616454295
raw_lightgbc_prediction_0.81,0.8888888888888888,1800.0,1.0429055534552427
raw_lightgbc_prediction_0.8200000000000001,0.9029896278218426,1639.0,1.0457291061510747
raw_lightgbc_prediction_0.8300000000000001,0.9067114093959732,1490.0,1.054159637804747
raw_lightgbc_prediction_0.8400000000000001,0.9185692541856926,1314.0,1.0588264304322252
raw_lightgbc_prediction_0.8500000000000001,0.9240724762726489,1159.0,1.0665320115333812
raw_lightgbc_prediction_0.8600000000000001,0.9289940828402367,1014.0,1.0705842473466844
raw_lightgbc_prediction_0.8700000000000001,0.9358108108108109,888.0,1.069644723615133
raw_lightgbc_prediction_0.8800000000000001,0.9485791610284168,739.0,1.09502378715646
raw_lightgbc_prediction_0.8899999999999999,0.9562398703403565,617.0,1.0889895836907908
raw_linsvc_prediction_0.7,0.8260744985673353,3490.0,0.9513689649120214
raw_linsvc_prediction_0.71,0.8325330132052821,3332.0,0.9589986217085736
raw_linsvc_prediction_0.72,0.8395061728395061,3159.0,0.9687076976447417
raw_linsvc_prediction_0.73,0.8501672240802676,2990.0,0.977004150557936
raw_linsvc_prediction_0.74,0.8577004968062456,2818.0,0.9824120494925915
raw_linsvc_prediction_0.75,0.8609022556390977,2660.0,0.990250628642968
raw_linsvc_prediction_0.76,0.8691328560063644,2514.0,1.0023601451545041
raw_linsvc_prediction_0.77,0.8737822956374418,2361.0,1.0159371663753862
raw_linsvc_prediction_0.78,0.8813559322033898,2183.0,1.0333388872858893
raw_linsvc_prediction_0.79,0.8845776031434185,2036.0,1.0395788257438565
raw_linsvc_prediction_0.8,0.8893617021276595,1880.0,1.0470195384203418
raw_linsvc_prediction_0.81,0.8965317919075144,1730.0,1.05991814356398
raw_linsvc_prediction_0.8200000000000001,0.9019108280254777,1570.0,1.0648639501890678
raw_linsvc_prediction_0.8300000000000001,0.9074204946996467,1415.0,1.0759453899795393
raw_linsvc_prediction_0.8400000000000001,0.9169960474308301,1265.0,1.0963243556623716
raw_linsvc_prediction_0.8500000000000001,0.928,1125.0,1.1032168538763845
raw_linsvc_prediction_0.8600000000000001,0.9347826086956522,1012.0,1.1159701687014916
raw_linsvc_prediction_0.8700000000000001,0.9407744874715261,878.0,1.137090467240552
raw_linsvc_prediction_0.8800000000000001,0.948,750.0,1.1343386592716342
raw_linsvc_prediction_0.8899999999999999,0.9516380655226209,641.0,1.1312945959162053
raw_log_prediction_0.7,0.8264414676761794,3434.0,0.944168313848207
raw_log_prediction_0.71,0.8350641417226634,3274.0,0.9500624691530576
raw_log_prediction_0.72,0.8432380340507549,3113.0,0.9579113598148552
raw_log_prediction_0.73,0.8497109826589595,2941.0,0.9614879605360251
raw_log_prediction_0.74,0.85827054180122,2787.0,0.9705085557765928
raw_log_prediction_0.75,0.8625142423091531,2633.0,0.9802947529764363
raw_log_prediction_0.76,0.8683788121990369,2492.0,0.9909200413283337
raw_log_prediction_0.77,0.8744086021505376,2325.0,1.0037739473144558
raw_log_prediction_0.78,0.8823257960313798,2167.0,1.0167460096289975
raw_log_prediction_0.79,0.8866699950074888,2003.0,1.0232498972837134
raw_log_prediction_0.8,0.8916576381365113,1846.0,1.0269849108609947
raw_log_prediction_0.81,0.8985849056603774,1696.0,1.035783560152462
raw_log_prediction_0.8200000000000001,0.9034526854219949,1564.0,1.0452169334184227
raw_log_prediction_0.8300000000000001,0.9083750894774517,1397.0,1.0506973821494023
raw_log_prediction_0.8400000000000001,0.9203821656050956,1256.0,1.063232586245076
raw_log_prediction_0.8500000000000001,0.9289520426287744,1126.0,1.0791254149277043
raw_log_prediction_0.8600000000000001,0.9378757515030061,998.0,1.0957210883597428
raw_log_prediction_0.8700000000000001,0.9390519187358917,886.0,1.1090469838558796
raw_log_prediction_0.8800000000000001,0.9453333333333334,750.0,1.0990118106181779
raw_log_prediction_0.8899999999999999,0.9523809523809523,651.0,1.0974287078969684
